                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.65786,                0.64752,                      0,                0.41024,                0.94554,                0.99589,                      1,                  0.995,                0.86362,                0.82192,                0.82456,                0.70802,                0.39877,                0.58544,                 2.6961,                      0,                0.36973,                0.93141,              0.0007724,              0.0007724,              0.0007724
                     65,                0.65264,                0.56933,                      0,                0.41276,                0.95299,                0.99896,                      1,                  0.995,                0.88664,                0.82371,                0.82456,                0.76517,                0.44902,                 0.5967,                 2.6987,                      0,                0.29699,                0.92863,              0.0007526,              0.0007526,              0.0007526
                     66,                0.65055,                0.57728,                      0,                0.40242,                0.94272,                0.99898,                      1,                  0.995,                0.88222,                0.52581,                0.52632,                0.39299,                0.30541,                0.59295,                 3.4537,                      0,                0.30014,                0.91791,              0.0007328,              0.0007328,              0.0007328
                     67,                 0.6625,                0.60279,                      0,                0.39665,                0.96015,                0.99898,                      1,                  0.995,                0.90051,                0.43826,                 0.4386,                 0.2972,                0.23746,                0.53497,                  3.732,                      0,                0.32236,                0.90439,               0.000713,               0.000713,               0.000713
                     68,                0.63318,                0.56602,                      0,                0.38553,                0.94886,                0.99898,                      1,                  0.995,                0.87613,                0.63093,                0.63158,                0.50113,                0.29553,                0.59528,                 3.5539,                      0,                0.32867,                0.94113,              0.0006932,              0.0006932,              0.0006932
                     69,                0.63709,                0.56964,                      0,                0.38884,                0.95719,                0.99898,                      1,                  0.995,                0.87739,                 0.5433,                0.54386,                 0.3872,                0.23956,                0.61324,                  3.726,                      0,                0.30116,                  0.937,              0.0006734,              0.0006734,              0.0006734
                     70,                0.63853,                0.51229,                      0,                0.38578,                0.94169,                0.99896,                      1,                  0.995,                 0.8714,                0.59587,                0.59649,                0.43547,                0.26307,                0.62189,                 3.4463,                      0,                0.33043,                0.92105,              0.0006536,              0.0006536,              0.0006536
                     71,                0.61574,                0.58373,                      0,                0.37529,                 0.9418,                0.99898,                      1,                  0.995,                0.86902,                0.50834,                0.50877,                0.33531,                0.24192,                0.59971,                  3.533,                      0,                0.31756,                0.90034,              0.0006338,              0.0006338,              0.0006338
                     72,                0.62461,                0.51922,                      0,                0.38018,                0.94072,                0.99902,                      1,                  0.995,                  0.877,                0.91137,                0.91228,                0.87027,                0.47391,                0.60639,                 2.9802,                      0,                0.31165,                0.91799,               0.000614,               0.000614,               0.000614
                     73,                0.64603,                0.58101,                      0,                0.38522,                 0.9341,                0.99896,                      1,                  0.995,                0.89081,                0.57844,                0.57895,                0.44468,                0.32734,                0.57406,                 3.3163,                      0,                0.31408,                0.90894,              0.0005942,              0.0005942,              0.0005942
