                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.66692,                0.67404,                      0,                0.42261,                0.95014,                0.99969,                      1,                  0.995,                0.81441,                 0.5635,                0.56356,                0.41294,                0.29174,                0.78306,                 3.4583,                      0,                0.39843,                0.98454,               0.000713,               0.000713,               0.000713
                     68,                0.64606,                 0.6477,                      0,                0.42584,                0.95473,                0.99534,                      1,                0.99496,                0.80178,                0.70432,                0.70763,                0.53438,                0.26328,                0.78319,                 3.4634,                      0,                0.39651,                  1.003,              0.0006932,              0.0006932,              0.0006932
                     69,                0.64405,                0.55069,                      0,                 0.4081,                0.95115,                0.99929,                      1,                  0.995,                0.83486,                0.73238,                0.73305,                0.58656,                0.27855,                0.72117,                  3.388,                      0,                0.36738,                0.97279,              0.0006734,              0.0006734,              0.0006734
                     70,                0.61794,                0.53053,                      0,                0.39749,                0.94793,                0.99968,                      1,                  0.995,                0.84017,                0.62692,                0.62712,                0.48922,                0.32645,                0.75887,                 3.1647,                      0,                0.39656,                0.99584,              0.0006536,              0.0006536,              0.0006536
                     71,                0.64271,                0.60802,                      0,                0.42307,                0.95393,                0.99965,                      1,                  0.995,                0.84973,                0.60574,                0.60593,                0.47536,                0.33596,                 0.7186,                 3.1589,                      0,                0.37262,                0.98432,              0.0006338,              0.0006338,              0.0006338
                     72,                 0.6649,                0.54001,                      0,                 0.4155,                0.96028,                0.99961,                      1,                  0.995,                0.83876,                0.49133,                0.49153,                0.37156,                0.32389,                0.76583,                 3.4554,                      0,                0.36894,                0.99453,               0.000614,               0.000614,               0.000614
                     73,                 0.6278,                0.54414,                      0,                0.40362,                0.94024,                0.99964,                      1,                  0.995,                 0.8506,                0.48711,                0.48729,                0.37437,                0.30549,                0.71273,                 3.5419,                      0,                0.36176,                0.97696,              0.0005942,              0.0005942,              0.0005942
                     74,                0.62301,                0.50722,                      0,                0.39304,                0.94253,                0.99961,                      1,                  0.995,                0.85446,                0.50404,                0.50424,                0.40202,                0.29462,                0.70252,                 3.6324,                      0,                0.35869,                0.96232,              0.0005744,              0.0005744,              0.0005744
                     75,                0.59979,                0.49318,                      0,                0.38226,                0.94539,                0.99954,                      1,                  0.995,                0.82916,                0.51673,                0.51695,                0.46493,                 0.2832,                0.80736,                 3.7661,                      0,                0.36564,                 1.0023,              0.0005546,              0.0005546,              0.0005546
                     76,                0.62258,                0.53198,                      0,                0.40433,                0.95067,                 0.9996,                      1,                  0.995,                0.84011,                0.56755,                 0.5678,                0.47445,                0.29087,                0.72195,                 3.5459,                      0,                0.35366,                0.95417,              0.0005348,              0.0005348,              0.0005348
                     77,                0.60516,                0.44563,                      0,                0.37442,                0.96781,                 0.9996,                      1,                  0.995,                0.84308,                0.60569,                0.60593,                0.49488,                0.29309,                0.70722,                 3.4653,                      0,                0.34605,                0.95328,               0.000515,               0.000515,               0.000515
                     78,                0.56023,                0.46301,                      0,                0.36093,                0.93831,                0.99966,                      1,                  0.995,                0.85487,                0.53382,                 0.5339,                0.39508,                0.30203,                0.68244,                 3.3779,                      0,                0.32741,                0.96067,              0.0004952,              0.0004952,              0.0004952
                     79,                0.62339,                0.43342,                      0,                0.39081,                0.95785,                0.99967,                      1,                  0.995,                0.84058,                0.57607,                0.57627,                0.43199,                0.33284,                0.72194,                 3.1668,                      0,                0.33704,                0.97277,              0.0004754,              0.0004754,              0.0004754
                     80,                0.56635,                0.48279,                      0,                0.37529,                0.94081,                0.99964,                      1,                  0.995,                0.85534,                0.68195,                 0.6822,                0.54583,                0.39226,                0.68167,                 2.7856,                      0,                0.34349,                0.95778,              0.0004556,              0.0004556,              0.0004556
                     81,                0.56313,                0.38838,                      0,                0.37144,                0.93547,                0.99959,                      1,                  0.995,                 0.8534,                0.69886,                0.69915,                0.58632,                0.45085,                0.70899,                 2.6421,                      0,                0.34379,                 0.9688,              0.0004358,              0.0004358,              0.0004358
                     82,                 0.6003,                0.39749,                      0,                 0.3869,                0.95199,                0.99957,                      1,                  0.995,                0.84397,                0.67766,                0.67797,                 0.5602,                 0.4095,                0.74231,                 2.7813,                      0,                0.35521,                0.97401,               0.000416,               0.000416,               0.000416
                     83,                0.55878,                0.44952,                      0,                0.36187,                0.92718,                0.99965,                      1,                  0.995,                0.85092,                0.58466,                0.58475,                0.45677,                0.32473,                0.69076,                 3.1972,                      0,                0.35505,                 0.9565,              0.0003962,              0.0003962,              0.0003962
                     84,                0.56921,                0.42704,                      0,                0.35555,                0.92672,                 0.9997,                      1,                  0.995,                0.84185,                0.53797,                0.53814,                0.40198,                0.26545,                0.72776,                 3.5875,                      0,                0.37699,                0.97304,              0.0003764,              0.0003764,              0.0003764
                     85,                0.60625,                0.42654,                      0,                0.37726,                 0.9547,                0.99977,                      1,                  0.995,                0.82698,                0.52182,                0.52119,                0.32993,                0.16884,                0.74555,                 3.9613,                      0,                0.37032,                 1.0025,              0.0003566,              0.0003566,              0.0003566
